Issue Key,Issue Type,Sprint,Epic,Summary,Description,Estimate,Suggested Owner,Depends On,Acceptance Criteria
SCAV-400,Epic,Sprint 1,RELIABILITY,"Core Flow Integrity and Admin Safety","Harden policy enforcement, idempotency, session resilience, and auditability for player and admin critical paths.",L,Tech Lead,,"Epic complete when Sprint 1 child stories are done, production smoke is green, and no P1 defects remain in assignment or captain flow."
SCAV-500,Epic,Sprint 2,GAME-DAY-OPS,"Incident Reliability and Operator Control","Deliver incident mode, fallback behavior, operational dashboard, and rehearsal readiness before event day.",L,Tech Lead,SCAV-400,"Epic complete when Sprint 2 child stories are done, rehearsal passes, and rollback drill is validated."
SCAV-401,Story,Sprint 1,RELIABILITY,"Codify game-state policy matrix","Create a single policy matrix for PENDING, RUNNING, PAUSED, ENDED and enforce it across gameplay and admin mutation endpoints.",M,Backend Engineer,,"All guarded endpoints return expected status and error codes by state; policy tests cover each state/action pair; OpenAPI reflects restrictions."
SCAV-402,Story,Sprint 1,RELIABILITY,"Add idempotency to admin mutating endpoints","Require x-idempotency-key for critical admin mutations including assignment, captain update, clue reopen, deduction, and status changes.",M,Backend Engineer,SCAV-401,"Retrying same key and payload returns the original result with no duplicate mutation; mismatched payload with same key returns 409."
SCAV-403,Story,Sprint 1,RELIABILITY,"Implement explicit captain handoff workflow","Add captain handoff endpoint and UI flow with reason, confirmation, and force override controls when RUNNING.",M,Backend Engineer,SCAV-401,"Captain handoff is blocked in RUNNING without force override; successful handoff records reason and actor in audit log; UI displays clear success and block states."
SCAV-404,Story,Sprint 1,RELIABILITY,"Add session resilience after backend restart","Implement transparent admin re-auth and player session resume prompts after restart or token invalidation.",M,Admin Frontend Engineer,SCAV-401,"Admin can continue setup flow after restart with one action; player sees resume prompt and can recover without data loss; e2e covers restart scenario."
SCAV-405,Story,Sprint 1,RELIABILITY,"Normalize participant identity handling","Enforce canonical name normalization and duplicate detection using case-insensitive and whitespace-insensitive matching.",S,Backend Engineer,SCAV-401,"Attempts to join or assign duplicates are rejected with deterministic error messages; tests cover mixed-case and whitespace variants."
SCAV-406,Story,Sprint 1,RELIABILITY,"Audit log v2 enrichment","Expand audit metadata with actor, reason, before state, after state, and force override markers.",M,Backend Engineer,SCAV-402,"All admin mutations write enriched audit entries; audit endpoint returns complete fields; admin UI can filter by action and team."
SCAV-407,Story,Sprint 1,RELIABILITY,"Admin setup preflight and destructive confirmation UX","Add preflight checklist before Start Test Hunt and typed confirmation for destructive actions.",M,Admin Frontend Engineer,SCAV-403,"Start Test Hunt disabled until preflight is complete; destructive actions require typed confirmation; e2e verifies blocked and allowed states."
SCAV-408,Story,Sprint 1,RELIABILITY,"Edge-case integration and e2e coverage expansion","Add tests for race conditions, RUNNING captain rules, stale UI submissions, and restart recovery.",M,QA Automation Engineer,SCAV-402 SCAV-404 SCAV-407,"Backend and admin e2e suites include new edge cases; CI is green on main for three consecutive runs."
SCAV-409,Task,Sprint 1,RELIABILITY,"Production alert baseline for critical failures","Configure alerts for 5xx spikes, rate-limit spikes, review backlog age, and restart loops.",S,DevOps Engineer,SCAV-406,"Alert rules are active in production; test alert triggers route to configured channel; runbook includes ack and escalation steps."
SCAV-410,Task,Sprint 1,RELIABILITY,"Sprint 1 rollout and verification","Deploy sprint scope and run smoke plus targeted policy verification against production.",S,DevOps Engineer,SCAV-408 SCAV-409,"Deployment is successful for backend and web; smoke script passes; policy checks confirm RUNNING and force override behavior."
SCAV-501,Story,Sprint 2,GAME-DAY-OPS,"Add incident mode enforcement","Implement NORMAL, DEGRADED, HARD_PAUSE with centralized enforcement across mutating gameplay/admin endpoints.",M,Backend Engineer,SCAV-410,"HARD_PAUSE blocks mutating actions with deterministic 423 response; read endpoints remain available; mode changes are audited."
SCAV-502,Story,Sprint 2,GAME-DAY-OPS,"Build incident mode controls in admin UI","Add visible incident banner, reason capture, and one-click mode switching in Live Ops.",S,Admin Frontend Engineer,SCAV-501,"Mode updates reflect in UI within 5 seconds; reason is required for HARD_PAUSE; banner shows active mode and timestamp."
SCAV-503,Story,Sprint 2,GAME-DAY-OPS,"Realtime degradation fallback to polling","When socket health drops, auto-fallback to polling for key views and show operator/player status indicators.",M,Mobile Engineer,SCAV-501,"When websocket disconnect is sustained, polling starts automatically; no duplicate updates; UI indicates degraded realtime mode."
SCAV-504,Story,Sprint 2,GAME-DAY-OPS,"Add multi-admin conflict detection","Detect stale admin writes using version tokens and show conflict resolution prompts.",M,Backend Engineer,SCAV-402,"Conflicting writes return 409 with latest version; admin UI prompts refresh and retry; tests cover simultaneous edits."
SCAV-505,Story,Sprint 2,GAME-DAY-OPS,"Add undo window for reversible admin actions","Enable short undo for reversible actions such as assignment remove and deduction with clear expiry.",M,Backend Engineer,SCAV-504,"Undo is available for configured actions within time window; after expiry action is final; audit tracks original and undo events."
SCAV-506,Story,Sprint 2,GAME-DAY-OPS,"Ops dashboard for live risk indicators","Create admin dashboard with queue age, auth failures, reconnect rate, and p95 response latency.",M,Backend Engineer,SCAV-409 SCAV-501,"Dashboard loads in under 500ms under normal load; metrics update every poll interval; thresholds visually highlight risk."
SCAV-507,Task,Sprint 2,GAME-DAY-OPS,"Synthetic game-day journey checks","Add synthetic scripts for join, captain action, admin mutation, and incident mode toggle flows.",S,DevOps Engineer,SCAV-503 SCAV-506,"Scheduled checks run successfully and alert on failure; scripts are documented and runnable locally."
SCAV-508,Task,Sprint 2,GAME-DAY-OPS,"Full game-day rehearsal and findings","Run full rehearsal from startup through incident handling and capture findings with owners and due dates.",M,Product Ops Lead,SCAV-507,"Rehearsal completes in under 60 minutes; findings log is published; no open P1 findings remain after remediation."
SCAV-509,Task,Sprint 2,GAME-DAY-OPS,"Final freeze and rollback readiness","Enforce release freeze window, verify rollback commands, and snapshot known-good versions.",S,Tech Lead,SCAV-508,"Freeze starts on schedule; rollback to last good backend and web version is verified; go/no-go signoff recorded."
